"cancer" "mutation" "mu0" "mu1" "mu"
"CH" "ACA_A" -17.7773328183121 0.864206112958352 -14.8625309980415
"CH" "ACA_G" -20.6941190538378 1.45856373141414 -15.4703183296503
"CH" "ACA_T" -17.4688699796692 0.894444119824475 -14.4416087927154
"CH" "ACC_A" -17.9890175515534 1.0487775722811 -14.3789596750109
"CH" "ACC_G" -18.825710999311 0.969087066745051 -15.5183939581992
"CH" "ACC_T" -17.1508257186767 0.775653651074307 -14.5619729494168
"CH" "ACG_A" -18.3891768680897 1.17627925377709 -14.2869889920077
"CH" "ACG_G" -19.6535895940992 1.3567568084301 -14.8392163335074
"CH" "ACG_T" -13.9750041033588 0.732366061750738 -11.5435968991225
"CH" "ACT_A" -19.1461908946165 1.15896867048024 -15.1113653087758
"CH" "ACT_G" -18.3840221145253 0.977684992141957 -15.0442260059382
"CH" "ACT_T" -17.123042207581 0.800051586937041 -14.4448963553367
"CH" "ATA_A" -17.6332893291833 0.70465044735716 -15.3020187575767
"CH" "ATA_C" -15.5238420297455 0.584500560960449 -13.6203843597267
"CH" "ATA_G" -20.1205626787773 1.17479597073381 -16.0241534750099
"CH" "ATC_A" -19.8564582507698 1.30222889079345 -15.2591277315963
"CH" "ATC_C" -17.6000910996914 0.833597331924441 -14.7985330558409
"CH" "ATC_G" -19.4130885155252 1.03388336438685 -15.8599015920252
"CH" "ATG_A" -18.9710607481801 1.07944523421894 -15.2434919545599
"CH" "ATG_C" -17.4442150788197 0.833946322166691 -14.6413692741052
"CH" "ATG_G" -19.3019437125013 0.973010497510981 -15.979811306985
"CH" "ATT_A" -17.7249813893786 0.749579738174791 -15.2311162797113
"CH" "ATT_C" -16.0658715605946 0.618955695998722 -14.040801228654
"CH" "ATT_G" -18.4702976565657 0.821170417421633 -15.7145429292892
"CH" "CCA_A" -18.5825870900518 1.02873336412901 -15.0490339333826
"CH" "CCA_G" -20.0251714800956 1.20862708487205 -15.7966534618202
"CH" "CCA_T" -17.7299579029038 0.961923737167283 -14.4496662738852
"CH" "CCC_A" -19.7167490658232 1.38455931016592 -14.7911023694926
"CH" "CCC_G" -20.5690905232625 1.40517129356735 -15.5606866834941
"CH" "CCC_T" -17.4485162976164 0.911188729317934 -14.3587314282649
"CH" "CCG_A" -18.2644748660398 1.10803282841116 -14.4268708836607
"CH" "CCG_G" -20.0130436517199 1.31779521580321 -15.3539154191593
"CH" "CCG_T" -15.0112545917217 0.839608244953001 -12.1875054921105
"CH" "CCT_A" -19.0746681649587 1.13244689106294 -15.1427192086636
"CH" "CCT_G" -18.4578624272537 0.961647718355563 -15.178611519612
"CH" "CCT_T" -18.4606451991521 1.16457189464398 -14.4040338173422
"CH" "CTA_A" -20.6195730997254 1.3772489452318 -15.7232241321148
"CH" "CTA_C" -16.8881288822049 0.659664322084556 -14.7182536600359
"CH" "CTA_G" -20.9061611839236 1.30441991831341 -16.3001447182494
"CH" "CTC_A" -19.2889939538477 1.08948781979056 -15.5228248093435
"CH" "CTC_C" -19.1179398939469 1.11745247119933 -15.2439755532547
"CH" "CTC_G" -20.9095082377097 1.41141507660837 -15.8759918174756
"CH" "CTG_A" -19.5645445920614 1.11030012070021 -15.7181934092352
"CH" "CTG_C" -18.1138381881331 0.860411712493045 -15.213107223398
"CH" "CTG_G" -20.5161767894134 1.31349667110828 -15.8741266496605
"CH" "CTT_A" -18.5341020892082 0.897301684504818 -15.4961833275894
"CH" "CTT_C" -17.5936336308081 0.806725865014614 -14.8909923101528
"CH" "CTT_G" -19.5514056717626 1.27605822128537 -15.0576764857984
"CH" "GCA_A" -17.5002425721706 0.842571862275001 -14.6655438119222
"CH" "GCA_G" -19.7382744360791 1.14599887903502 -15.753808090154
"CH" "GCA_T" -16.6667642137517 0.719732022899642 -14.2810694607506
"CH" "GCC_A" -18.504791971299 1.05428152963824 -14.8736849965092
"CH" "GCC_G" -18.7538095646936 0.940077465875153 -15.5557442145464
"CH" "GCC_T" -16.6859016323021 0.789026401610436 -14.0481553092689
"CH" "GCG_A" -17.8407093106351 1.02548770698144 -14.3195217315077
"CH" "GCG_G" -20.6799671861538 1.4548527934873 -15.4711847023361
"CH" "GCG_T" -14.4655085508451 0.78467535757152 -11.8436835948897
"CH" "GCT_A" -19.6663710850276 1.3062287491284 -15.0531737431254
"CH" "GCT_G" -19.9120223173579 1.24027441245263 -15.5593453303098
"CH" "GCT_T" -18.2212195143135 1.09774037021764 -14.4232864026804
"CH" "GTA_A" -19.3160589117889 0.965411524670595 -16.0226126655573
"CH" "GTA_C" -18.0684269994086 1.01563619015112 -14.5847340820906
"CH" "GTA_G" -22.9468918081798 1.84123371320248 -16.1382456688878
"CH" "GTC_A" -18.3923119600014 0.815479179119379 -15.6575005178148
"CH" "GTC_C" -17.1976685429802 0.732603983935407 -14.7653994402545
"CH" "GTC_G" -21.7578357562468 1.49023575751228 -16.405571843885
"CH" "GTG_A" -18.7667908426244 0.87158012233487 -15.8246175547062
"CH" "GTG_C" -18.2678773071241 0.917116324150327 -15.1559169893552
"CH" "GTG_G" -19.2940714227824 1.08591382682572 -15.5416462498391
"CH" "GTT_A" -19.3882350971389 1.11095883222277 -15.5393420527869
"CH" "GTT_C" -16.7521050796966 0.643363773140602 -14.6403563776817
"CH" "GTT_G" -18.672009681204 0.865418751271535 -15.7527090697941
"CH" "TCA_A" -19.0585730454342 1.28790493106758 -14.5179925334394
"CH" "TCA_G" -20.5295416078453 1.77121745218573 -14.0160177748239
"CH" "TCA_T" -18.216989273561 1.38570005607839 -13.2867682973036
"CH" "TCC_A" -18.2474921440516 1.11566077983723 -14.3804477733846
