"cancer" "samples" "ntotal"
"BLCA" 503 39
"BLCA" 503 30
"BLCA" 503 31
"BRCA" 1599 13
"BRCA" 1599 44
"BRCA" 1599 34
"BRCA" 1599 34
"BRCA" 1599 65
"BRCA" 1599 55
"BRCA" 1599 21
"BRCA" 1599 11
"BRCA" 1599 13
"BRCA" 1599 70
"BRCA" 1599 61
"BRCA" 1599 49
"BRCA" 1599 30
"BRCA" 1599 20
"BRCA" 1599 38
"BRCA" 1599 57
"BRCA" 1599 11
"BRCA" 1599 30
"BRCA" 1599 47
"BRCA" 1599 529
"BRCA" 1599 112
"BRCA" 1599 26
"BRCA" 1599 54
"BRCA" 1599 28
"BRCA" 1599 122
"BRCA" 1599 15
"BRCA" 1599 47
"BRCA" 1599 26
"BRCA" 1599 66
"BRCA" 1599 28
"BRCA" 1599 74
"BRCA" 1599 25
"BRCA" 1599 68
"BRCA" 1599 220
"BRCA" 1599 33
"BRCA" 1599 49
"BRCA" 1599 18
"BRCA" 1599 15
"BRCA" 1599 38
"BRCA" 1599 19
"BRCA" 1599 23
"BRCA" 1599 20
"BRCA" 1599 29
"BRCA" 1599 18
"BRCA" 1599 24
"BRCA" 1599 218
"BRCA" 1599 15
"BRCA" 1599 19
"BRCA" 1599 35
"BRCA" 1599 28
"BRCA" 1599 32
"BRCA" 1599 16
"BRCA" 1599 11
"BRCA" 1599 15
"BRCA" 1599 17
"BRCA" 1599 11
"BRCA" 1599 11
"BRCA" 1599 17
"BRCA" 1599 16
"BRCA" 1599 23
"BRCA" 1599 64
"BRCA" 1599 12
"BRCA" 1599 23
"BRCA" 1599 34
"BRCA" 1599 31
"BRCA" 1599 14
"BRCA" 1599 23
"BRCA" 1599 329
"BRCA" 1599 14
"BRCA" 1599 96
"BRCA" 1599 16
"BRCA" 1599 31
"BRCA" 1599 47
"BRCA" 1599 15
"BRCA" 1599 60
"BRCA" 1599 70
"BRCA" 1599 19
"BRCA" 1599 6
"BRCA" 1599 11
"BRCA" 1599 11
"BRCA" 1599 50
"BRCA" 1599 11
"BRCA" 1599 39
"BRCA" 1599 35
"BRCA" 1599 26
"BRCA" 1599 22
"BRCA" 1599 14
"BRCA" 1599 21
"BRCA" 1599 17
"BRCA" 1599 12
"BRCA" 1599 23
"BRCA" 1599 24
"BRCA" 1599 30
"BRCA" 1599 6
"BRCA" 1599 36
"BRCA" 1599 15
"BRCA" 1599 14
