"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"ST" "LoF" "miss" 1014 777 93120 -12.8374001437627 -13.1950789368075 -13.1634239262358 -5508.67037306046 -5085.13471531386 -5742.02073749063 2.14653697668747e-216 -5097.34939977942 -5742.02073749063 -5085.21272573206 -284.142236695284
"ST1" "no" "miss" 125225 122419 14208 -9.65774805745311 -9.85837323582775 -9.86011024650097 -184139.003111564 -37539.3310414331 -223025.949676119 0.0072086574328329 -40309.9443506147 -223025.949676119 -37539.3389905041 -379.005253693934
"ST1" "no_all" "miss" 118964 116307 14208 -9.65553324929599 -9.85774461747865 -9.85774461747865 -175807.80493532 -36450.3409245275 -212569.328638051 0.499228902747566 -39086.8096151872 -212569.328638051 -36450.3409245275 -373.916002230431
"ST1" "no_specific" "miss" 6261 6112 14208 -9.7065605933509 -9.87031748647171 -9.91224674925039 -15119.7641936691 -7877.22603318311 -17269.5753132573 1.00982245662938e-30 -8009.99814877489 -17269.5753132573 -7877.60566613913 -283.06940242395
"ST1" "Act" "miss" 474 371 14208 -9.84338167872915 -10.1180343566548 -10.0564497857807 -2077.31130377338 -1610.06884048295 -2241.92471645571 3.88518868519723e-50 -1619.70076395861 -2241.92471645571 -1610.07105928059 -186.578454363334
"ST1" "LoF" "miss" 836 778 14208 -9.96291927923713 -10.0281703537972 -10.1842968445234 -3193.88507981739 -2348.06828943563 -3606.02206050261 1.2752771139671e-46 -2368.16318554931 -3606.02206050261 -2351.14053842706 -204.223316731963
"THCA1" "no" "miss" 6042 5946 69024 -15.1270583895917 -15.4184737196721 -15.4139045458937 -20112.0922288269 -17559.6556570368 -20866.8770739314 0.296383928027253 -17765.6510036103 -20866.8770739314 -17559.8520325842 -270.797346750033
"THCA1" "no_all" "miss" 5721 5635 69024 -15.1265391326699 -15.4131451952742 -15.4131451952742 -19284.1808684913 -16857.9708641205 -20008.8176711894 0.49648382042938 -17044.176757312 -20008.8176711894 -16857.9708641205 -264.776999457124
"THCA1" "no_specific" "miss" 321 310 69024 -15.1376608248347 -15.513440972258 -15.429409328652 -1999.68367343347 -1869.29471276798 -2029.39541839623 0.00774744014408321 -1891.5850968484 -2029.39541839623 -1872.89913740137 -176.024947849017
"THCA1" "Act" "miss" 526 27 69024 -15.1742692029401 -16.9179784175825 -15.468542170934 -3202.60755955356 -3534.11624948561 -3138.18102015048 0 -3001.47081025186 -3138.18102015048 -3557.9352776361 -1730.97014103026
"THCA1" "LoF" "miss" 42 36 69024 -15.1956753772441 -15.7147690684222 -15.4970595324136 -352.851762663156 -343.736386646569 -357.494401561269 5.92791032283397e-07 -345.464950861814 -357.494401561269 -343.776940335406 -80.2541441240423
"UCEC" "no" "miss" 41712 41440 11808 -10.8218693320673 -10.9739595191798 -10.9724161786204 -66731.6861804106 -24460.0907135672 -78385.3614369146 0.0516249112211781 -25913.3842040072 -78385.3614369146 -24460.1279249653 -335.572813789763
"UCEC" "no_all" "miss" 39620 39366 11808 -10.8194436773301 -10.9699437669319 -10.9699437669319 -63980.628005362 -23689.2991128886 -75004.3003283208 0.498663834757662 -25061.8136475484 -75004.3003283208 -23689.2991128886 -330.394738158369
