"cancer" "gene" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC" "n_max"
"cancer" "gene" "ROLE" "samples" "n" "n_uniq" "pred" "pred_mut" "pred_nmut" "df" "m0_pois" "m1_pois" "m2_pois" "m0_rate" "m1_rate" "m2_rate" "m0_rate0" "nmax"
"ST1" "FAT4" "LoF" 148 111 107 47.3317577826028 -9.74303170190141 -10.0144061535677 14207 -519.26588116731 -518.986713799089 -471.777980081114 -523.152630567616 -522.342031199283 -475.664731319478 -95.8470318470754 2
"ST1" "LRP1B" "LoF" 148 107 104 37.2033416483536 -10.6470365248959 -10.3553042899929 14207 -557.711689308579 -555.664027469899 -496.828822405256 -558.220193248779 -556.818144016011 -497.337326515101 -115.198557445178 2
"ST1" "PIK3CA" "Act" 148 66 33 8.31643407469777 -10.7255781511323 -10.4223111382053 14207 -360.416609512456 -358.847406620741 -271.5249964075 -365.397313208272 -364.240169244499 -276.505699743961 -117.635782591518 20
"THCA1" "BRAF" "Act" 719 412 2 0.41640858815763 -17.1110592214201 -15.1859355982166 69023 -3051.03546212075 -3049.24553026712 -671.621334428326 -3141.4924844929 -2526.56310411958 -762.078357070396 -2384.6482015104 410
"THCA1" "NRAS" "Act" 719 63 3 0.0968425825503453 -16.9131172237178 -15.3240444946807 69023 -541.447925464608 -496.769893145356 -256.884755136233 -535.79370035645 -488.351506829491 -251.230530065246 -290.447215506358 54
"UCEC" "PIK3CA" "Act" 123 88 45 3.04520489981939 -11.3615300750312 -11.4411671143937 11807 -448.867064482685 -446.161353164639 -376.693346050533 -451.898149724867 -450.545789159573 -379.724431234511 -110.839955373502 11
"UCEC" "PTEN" "LoF" 123 67 44 1.14321335527178 -12.1282535780823 -11.4826989607439 11807 -429.324454352512 -428.317248581566 -312.870650267375 -433.406484976364 -428.590272496299 -316.952680858099 -154.748345113421 10
"UCEC1" "CTNNB1" "Act" 274 60 24 0.741012014003027 -14.61719859303 -13.6126268128314 26303 -420.86734785667 -407.935992181091 -316.33592437916 -411.24365823448 -406.966716254823 -306.712234660962 -128.771918012463 7
"UCEC1" "PIK3CA" "Act" 274 123 49 0.902459208031127 -14.4232139983933 -13.8534549408951 26303 -771.216776889583 -767.161603202488 -621.534934574386 -762.741827717834 -761.076181665924 -613.059985116975 -198.258025349228 19
"UCEC1" "PTEN" "LoF" 274 74 43 0.342327562523393 -14.3601499057501 -13.8809035142594 26303 -535.089776667726 -534.766180724162 -400.588907751183 -532.400468236618 -531.71715243108 -397.89959906476 -172.93970830037 20
"UCEC1" "TP53" "LoF" 274 116 63 0.44027648373357 -13.4657975505299 -13.2801645666879 26303 -676.05540162502 -674.915041075421 -590.963038914928 -679.536691461804 -679.509677152507 -594.444328598398 -137.881205940963 11
